ref	value
C1	100u
D1	1N4148
D2	1N4148
D3	1N4148
D4	1N4148
D5	1N4148
D6	1N4148
D7	1N4148
D8	1N4148
D9	1N4148
D10	1N4148
D11	1N4148
D12	1N4148
D13	1N4148
D14	1N4148
K1	Reed relay
K2	Reed relay
K3	Reed relay
K4	Reed relay
K5	Reed relay
K6	Reed relay
K7	Reed relay
K8	Reed relay
K9	Reed relay
K10	Reed relay
K11	Reed relay
K12	Reed relay
K2-2	Reed relay
K8-2	Reed relay
K1a	SPST
K2a	SPST
K3a	SPST
K4a	SPST
K5a	SPST
K6a	SPST
K7a	SPST
K8a	SPST
K9a	SPST
K10a	SPST
K11a	SPST
K12a	SPST
K2-2a	SPST
K8-2a	SPST
R1	100 1%
R2	1k 1%
R3	33K
R4	1k 1%
R5	100 1%
R6	1 1% 1W
R7	10 1% 10W
R8	990K 1%
R9	10k 1%
R10	56
R11	56
R12	56
R13	56
R14	56
R15	56
R16	56
R17	56
R18	56
R19	56
R20	56
R21	56
R22	56
R23	56
