ref	value
C1	2200u 16V
C2	2200u 16V
C3	10u 6V
C4	33n
C5	33n
D1	BY399
D2	BY399
D3	BY399
D4	BY399
D5	1,2V
IC1	DAC0832
IC2	LF351
IC3	OPTONPN
IC4	OPTONPN
IC5	OPTONPN
IC6	OPTONPN
IC7	OPTONPN
IC8	OPTONPN
IC9	OPTONPN
IC10	OPTONPN
IC11	74LS374
J1	RELAY
JC1	SWITCH_INV
JC2	SWITCH_INV
P1	100k
R1	300
R2	12
R3	1,5K
R4	1,5K
R5	4,3k
R6	1k
R7	1k
R8	4,7k
R9	4,7k
R10	4,7k
R11	4,7k
R12	4,7k
R13	4,7k
R14	4,7k
R15	4,7k
R16	1k
R17	1k
R18	1k
R19	1k
R20	1k
R21	1k
R22	1k
R23	1k
R24	470
T1	BC212
T2	BC212
T3	BC212
T4	BC109
T5	BC182
