ref	value
C1	100u
D1	1N4148
D2	1N4148
D3	1N4148
D4	1N4148
D5	1N4148
D6	1N4148
D7	1N4148
D8	1N4148
D9	1N4148
D10	1N4148
D11	1N4148
D12	1N4148
D13	1N4148
D14	1N4148
J1	Reed relay
J2	Reed relay
J3	Reed relay
J4	Reed relay
J5	Reed relay
J6	Reed relay
J7	Reed relay
J8	Reed relay
J9	Reed relay
J10	Reed relay
J11	Reed relay
J12	Reed relay
J2-2	Reed relay
J8-2	Reed relay
JC1	SPST
JC2	SPST
JC3	SPST
JC4	SPST
JC5	SPST
JC6	SPST
JC7	SPST
JC8	SPST
JC9	SPST
JC10	SPST
JC11	SPST
JC12	SPST
JC2-2	SPST
JC8-2	SPST
R1	100 1%
R2	1k 1%
R3	33K
R4	1k 1%
R5	100 1%
R6	1 1% 1W
R7	10 1% 10W
R8	990K 1%
R9	10k 1%
R10	56
R11	56
R12	56
R13	56
R14	56
R15	56
R16	56
R17	56
R18	56
R19	56
R20	56
R21	56
R22	56
R23	56
